character,angle,attribute,value
aavatar,expression,sketchy,afraid
aavatar,expression,sketchy,angry
aavatar,expression,sketchy,annoyed
aavatar,expression,sketchy,blush
aavatar,expression,sketchy,confused
aavatar,expression,sketchy,cry
aavatar,expression,sketchy,cryingloudly
aavatar,expression,sketchy,cunning
aavatar,expression,sketchy,curious
aavatar,expression,sketchy,disappointed
aavatar,expression,sketchy,dozing
aavatar,expression,sketchy,drunk
aavatar,expression,sketchy,excited
aavatar,expression,sketchy,happy
aavatar,expression,sketchy,hearteyes
aavatar,expression,sketchy,irritated
aavatar,expression,sketchy,lookingdown
aavatar,expression,sketchy,lookingleft
aavatar,expression,sketchy,lookingright
aavatar,expression,sketchy,lookingup
aavatar,expression,sketchy,mask
aavatar,expression,sketchy,neutral
aavatar,expression,sketchy,nevermind
aavatar,expression,sketchy,ooh
aavatar,expression,sketchy,rofl
aavatar,expression,sketchy,rollingeyes
aavatar,expression,sketchy,sad
aavatar,expression,sketchy,scared
aavatar,expression,sketchy,shocked
aavatar,expression,sketchy,shout
aavatar,expression,sketchy,smile
aavatar,expression,sketchy,smirk
aavatar,expression,sketchy,starstruck
aavatar,expression,sketchy,surprised
aavatar,expression,sketchy,tired
aavatar,expression,sketchy,tongueout
aavatar,expression,sketchy,whistle
aavatar,expression,sketchy,wink
aavatar,expression,sketchy,worried
aavatar,expression,strokes,afraid
aavatar,expression,strokes,angry
aavatar,expression,strokes,annoyed
aavatar,expression,strokes,blush
aavatar,expression,strokes,confused
aavatar,expression,strokes,cry
aavatar,expression,strokes,cryingloudly
aavatar,expression,strokes,cunning
aavatar,expression,strokes,curious
aavatar,expression,strokes,disappointed
aavatar,expression,strokes,dozing
aavatar,expression,strokes,drunk
aavatar,expression,strokes,excited
aavatar,expression,strokes,happy
aavatar,expression,strokes,hearteyes
aavatar,expression,strokes,irritated
aavatar,expression,strokes,lookingdown
aavatar,expression,strokes,lookingleft
aavatar,expression,strokes,lookingright
aavatar,expression,strokes,lookingup
aavatar,expression,strokes,mask
aavatar,expression,strokes,neutral
aavatar,expression,strokes,nevermind
aavatar,expression,strokes,ooh
aavatar,expression,strokes,rofl
aavatar,expression,strokes,rollingeyes
aavatar,expression,strokes,sad
aavatar,expression,strokes,scared
aavatar,expression,strokes,shocked
aavatar,expression,strokes,shout
aavatar,expression,strokes,smile
aavatar,expression,strokes,smirk
aavatar,expression,strokes,starstruck
aavatar,expression,strokes,surprised
aavatar,expression,strokes,tired
aavatar,expression,strokes,tongueout
aavatar,expression,strokes,whistle
aavatar,expression,strokes,wink
aavatar,expression,strokes,worried
aavatar,expression,thinlines,afraid
aavatar,expression,thinlines,angry
aavatar,expression,thinlines,annoyed
aavatar,expression,thinlines,blush
aavatar,expression,thinlines,confused
aavatar,expression,thinlines,cry
aavatar,expression,thinlines,cryingloudly
aavatar,expression,thinlines,cunning
aavatar,expression,thinlines,curious
aavatar,expression,thinlines,disappointed
aavatar,expression,thinlines,dozing
aavatar,expression,thinlines,drunk
aavatar,expression,thinlines,excited
aavatar,expression,thinlines,happy
aavatar,expression,thinlines,hearteyes
aavatar,expression,thinlines,irritated
aavatar,expression,thinlines,lookingdown
aavatar,expression,thinlines,lookingleft
aavatar,expression,thinlines,lookingright
aavatar,expression,thinlines,lookingup
aavatar,expression,thinlines,mask
aavatar,expression,thinlines,neutral
aavatar,expression,thinlines,nevermind
aavatar,expression,thinlines,ooh
aavatar,expression,thinlines,rofl
aavatar,expression,thinlines,rollingeyes
aavatar,expression,thinlines,sad
aavatar,expression,thinlines,scared
aavatar,expression,thinlines,shocked
aavatar,expression,thinlines,shout
aavatar,expression,thinlines,smile
aavatar,expression,thinlines,smirk
aavatar,expression,thinlines,starstruck
aavatar,expression,thinlines,surprised
aavatar,expression,thinlines,tired
aavatar,expression,thinlines,tongueout
aavatar,expression,thinlines,whistle
aavatar,expression,thinlines,wink
aavatar,expression,thinlines,worried
aavatar,gender,female,bindi
aavatar,gender,female,blondecurly
aavatar,gender,female,blondeshort
aavatar,gender,female,densehair
aavatar,gender,female,densehairwithband
aavatar,gender,female,hairband
aavatar,gender,female,highbun
aavatar,gender,female,messyponytail
aavatar,gender,female,oldladywithglasses
aavatar,gender,female,shorthair
aavatar,gender,female,wavy
aavatar,gender,male,brettbeard
aavatar,gender,male,egyptiangoatee
aavatar,gender,male,englishmoustache
aavatar,gender,male,fullgoatee
aavatar,gender,male,oldman
aavatar,gender,male,oldmanwithglasses
aavatar,gender,male,paintersmoustache
aavatar,gender,male,smallgoatee
aavatar,gender,male,spikes
aavatar,gender,unisex,bald
aavatar,gender,unisex,densedreads
aavatar,gender,unisex,mediumdreads
aavatar,gender,unisex,mediumhair
aavatar,gender,unisex,mediumhairwithglasses
aavatar,gender,unisex,topknotbun
aavatar,gender,unisex,turban
aavatar,pose,bodycon,handonhip
aavatar,pose,bodycon,handsfolded
aavatar,pose,bodycon,handsonhip
aavatar,pose,bodycon,holdingbag
aavatar,pose,bodycon,holdinglaptop
aavatar,pose,bodycon,pointingleft
aavatar,pose,bodycon,shy
aavatar,pose,bodycon,sittingonbeanbag
aavatar,pose,bodycon,super
aavatar,pose,bodycon,walk
aavatar,pose,bodycon,wonderwoman
aavatar,pose,casualfullsleevetee,angry
aavatar,pose,casualfullsleevetee,handsfolded
aavatar,pose,casualfullsleevetee,handsinpocket
aavatar,pose,casualfullsleevetee,handsonhip
aavatar,pose,casualfullsleevetee,holdingbook
aavatar,pose,casualfullsleevetee,holdingcoffee
aavatar,pose,casualfullsleevetee,holdinglaptop
aavatar,pose,casualfullsleevetee,holdingmobile
aavatar,pose,casualfullsleevetee,holdingumbrella
aavatar,pose,casualfullsleevetee,pointingright
aavatar,pose,casualfullsleevetee,pointingup
aavatar,pose,casualfullsleevetee,readingpaper
aavatar,pose,casualfullsleevetee,ridingbicycle
aavatar,pose,casualfullsleevetee,ridingbike
aavatar,pose,casualfullsleevetee,shrug
aavatar,pose,casualfullsleevetee,sittingatdesk
aavatar,pose,casualfullsleevetee,sittingatdeskhandsspread
aavatar,pose,casualfullsleevetee,sittingatdeskholdingmobile
aavatar,pose,casualfullsleevetee,sittingonbeanbagholdinglaptop
aavatar,pose,casualfullsleevetee,sittingonbeanbagholdingmobile
aavatar,pose,casualfullsleevetee,sittingonfloorexplaining
aavatar,pose,casualfullsleevetee,sittingonfloorholdinglaptop
aavatar,pose,casualfullsleevetee,sittingonfloorshrug
aavatar,pose,casualfullsleevetee,super
aavatar,pose,casualfullsleevetee,thinking
aavatar,pose,casualfullsleevetee,thumbsup
aavatar,pose,casualfullsleevetee,yuhoo
aavatar,pose,casualtee,angry
aavatar,pose,casualtee,handsfolded
aavatar,pose,casualtee,handsheldback
aavatar,pose,casualtee,handsinpocket
aavatar,pose,casualtee,handsonhip
aavatar,pose,casualtee,holdingbook
aavatar,pose,casualtee,holdingcoffee
aavatar,pose,casualtee,holdinglaptop
aavatar,pose,casualtee,holdingmobile
aavatar,pose,casualtee,holdingumbrella
aavatar,pose,casualtee,pointing45degree
aavatar,pose,casualtee,pointingright
aavatar,pose,casualtee,pointingup
aavatar,pose,casualtee,readingpaper
aavatar,pose,casualtee,ridingbicycle
aavatar,pose,casualtee,ridingbike
aavatar,pose,casualtee,shrug
aavatar,pose,casualtee,sittingatdesk
aavatar,pose,casualtee,sittingatdeskhandsspread
aavatar,pose,casualtee,sittingatdeskholdingmobile
aavatar,pose,casualtee,sittingonbeanbagholdinglaptop
aavatar,pose,casualtee,sittingonbeanbagholdingmobile
aavatar,pose,casualtee,sittingonthefloorexplaining
aavatar,pose,casualtee,sittingonthefloorholdinglaptop
aavatar,pose,casualtee,sittingonthefloorshrug
